011|lat="48.189966939389706" lon="17.13774642907083"|IP7||||||R13|
012|lat="48.189991917461157" lon="17.137657664716244"|||||||R13|
013|lat="48.190007507801056" lon="17.137537216767669"|IP7||||||R13|
014|lat="48.189883371815085" lon="17.137405537068844"|C12|IP7|||||R13|
016|lat="48.190301461145282" lon="17.136680753901601"|C12|C13|||||R13|
017|lat="48.19076070562005" lon="17.135780202224851"|C8|C13|||||R13|
019|lat="48.191105034202337" lon="17.135139992460608"|C8|C8X|||||R13|
21|N48° 09.320' E17° 08.768'|IP7||||||2001|
26|lat="48.162345131859183" lon="17.089900262653828"|||||||R12|
28|lat="48.162462813779712" lon="17.089756513014436"|IS40B||||||R12|
30|lat="48.162567252293229" lon="17.089563393965364"|E16B|IS40F|||||R12|
31|lat="48.162683257833123" lon="17.089437916874886"|C24A||||||R12|
32|lat="48.163570398464799" lon="17.088046185672283"|C24B||||||R12|
0032|48.13039842993021, 17.219795370474458|C24A||||||O8|
33|lat="48.163599316030741" lon="17.087781066074967"|||||||R12|
34|lat="48.163598142564297" lon="17.087781233713031"|IS40F||||||R12|
36|lat="48.163724709302187" lon="17.087396504357457"|E16B||||||R12|
38|lat="48.164199879392982" lon="17.085686847567558"|E16B||||||R12|
39|lat="48.165046032518148" lon="17.083193399012089"|C24A||||||R12|
40|lat="48.165446352213621" lon="17.082073492929339"|C24B||||||R12|
41|lat="48.165383487939835" lon="17.082083383575082"|C24A|IS4F|||||R12|
42|lat="48.165314672514796" lon="17.082214141264558"|||||||R12|
0042|48.129229070618749, 17.217104695737362|C24A||||||O8|
43|lat="48.165002530440688" lon="17.083146292716265"|E16C||||||R12|
44|lat="48.164449743926525" lon="17.08474094979465"|E16C||||||R12|
45|lat="48.164102481678128" lon="17.085858676582575"|E16C||||||R12|
46|lat="48.163497978821397" lon="17.087903609499335"|C24A|E16C|||||R12|
47|lat="48.162752324715257" lon="17.089152429252863"|C24B|IS40B|||||R12|
48|lat="48.162596253678203" lon="17.089395755901933"|||||||R12|
49|lat="48.1624910607934" lon="17.089562807232141"|IS40F||||||R12|
50|lat="48.162319734692574" lon="17.08982122130692"|||||||R12|
0051|48.128933859989047, 17.216408075764775|C24B||||||O8|
052|N48° 09.237' E17° 08.810'|IP7|IP7|||||R26|
053|N48° 09.230' E17° 08.783'|IP7|IP7|||||R26|
054|N48° 09.234' E17° 08.777'|IP7|IP7|||||R26|
055|N48° 09.251' E17° 08.766'|IP7||||||R26|
56|lat="48.135829232633114" lon="17.117175729945302"|C8|C12|||||R18|
57|lat="48.135888576507568" lon="17.117173634469509"|C13|IP7|||||R18|
58|lat="48.140002498403192" lon="17.117420230060816"|C13||||||R18|
59|lat="48.140205340459943" lon="17.117366921156645"|C12||||||R18|
60|lat="48.140397872775793" lon="17.117421571165323"|C13||||||R18|
61|lat="48.14093666151166" lon="17.116943467408419"|C13|C13X|IP7||||R18|
0061|48.128650803118944, 17.215749677270651|||||||R18|
62|N48° 08.601' E17° 06.794'|C24A|IS40B|IS40D||||O1|
65|lat="48.143104556947947" lon="17.113589867949486"|C24A||||||R18|O1
66|lat="48.142511788755655" lon="17.114445744082332"|C24A||||||R18|
67|lat="48.142045335844159" lon="17.115122834220529"|C24B||||||R18|
68|lat="48.14134519547224" lon="17.116183396428823"|C25||||||R18|
